campaign_id,brand_name,product_category,start_date,end_date,budget,influencer_spend,target_audience,campaign_objective,expected_roas,num_influencers,campaign_status
CAMP_0019,ActiveEdge,food,2023-10-16,2023-11-11,36850,16130,mixed,conversion,4.54,10,paused
CAMP_0020,FitFuel,beauty,2023-01-22,2023-03-02,90649,62664,gen_z,awareness,3.15,11,active
CAMP_0021,WanderLux,gaming,2023-03-14,2023-04-12,29050,21782,gen_z,conversion,6.85,11,completed
CAMP_0022,GlowSkin,fitness,2023-01-21,2023-02-19,75855,35388,mixed,conversion,3.28,9,completed
CAMP_0023,PureGlow,travel,2023-03-13,2023-04-25,5282,2715,mixed,awareness,3.14,6,completed
CAMP_0024,GlowSkin,lifestyle,2023-10-24,2023-11-10,76066,31952,mixed,engagement,7.52,11,completed
CAMP_0025,TechNova,fitness,2023-01-17,2023-03-10,15500,6621,millennial,conversion,2.72,12,completed
CAMP_0026,FitFuel,food,2023-10-20,2023-12-15,10209,6467,gen_x,conversion,3.23,14,active
CAMP_0027,TechNova,travel,2023-04-09,2023-05-22,56876,29944,gen_z,awareness,4.75,12,completed
CAMP_0028,WanderLux,tech,2023-02-18,2023-03-26,32938,24781,millennial,conversion,3.71,10,paused
CAMP_0029,GlowSkin,travel,2023-12-10,2024-02-04,85173,37598,millennial,conversion,2.69,4,paused
CAMP_0030,WanderLux,fashion,2023-09-05,2023-11-03,40697,21860,gen_x,engagement,4.93,3,completed
CAMP_0031,GlowSkin,beauty,2023-11-14,2023-12-19,41265,29234,gen_x,awareness,6.45,11,paused
CAMP_0032,FitFuel,fitness,2023-07-18,2023-09-14,6267,4773,gen_z,conversion,5.5,5,active
CAMP_0033,HomeNest,beauty,2023-03-02,2023-04-07,45404,21977,millennial,engagement,2.62,15,paused
CAMP_0034,StyleHub,tech,2023-07-20,2023-08-14,25257,19008,gen_z,awareness,6.42,8,active
CAMP_0035,WanderLux,tech,2023-11-28,2024-01-25,37527,16633,gen_z,conversion,3.33,10,active
CAMP_0036,StyleHub,beauty,2023-05-27,2023-07-22,34831,16623,gen_x,conversion,7.19,15,active
CAMP_0037,PureGlow,lifestyle,2023-06-21,2023-07-06,71768,32018,gen_x,awareness,5.48,7,completed
CAMP_0038,HomeNest,lifestyle,2023-02-20,2023-04-02,61959,39808,gen_z,conversion,7.4,6,active
CAMP_0039,GlowSkin,fashion,2023-01-23,2023-03-01,62154,35584,gen_x,engagement,3.88,4,paused
CAMP_0040,PureGlow,lifestyle,2023-05-17,2023-06-25,45538,30915,millennial,awareness,4.52,9,paused
CAMP_0041,WanderLux,food,2023-12-06,2024-01-24,85676,62842,gen_x,conversion,3.26,15,paused
CAMP_0042,ActiveEdge,gaming,2023-10-21,2023-12-02,47237,31661,mixed,engagement,3.02,4,active
CAMP_0043,HomeNest,fitness,2023-09-22,2023-10-21,87960,58856,millennial,awareness,2.88,3,completed
CAMP_0044,ActiveEdge,food,2023-08-20,2023-10-13,14545,9167,mixed,conversion,4.4,5,paused
CAMP_0045,PureGlow,fashion,2023-12-01,2023-12-26,18970,13690,mixed,awareness,5.34,4,active
CAMP_0046,HomeNest,gaming,2023-03-26,2023-05-18,65901,47844,mixed,engagement,4.68,5,paused
CAMP_0047,StyleHub,travel,2023-08-15,2023-10-01,38972,23143,millennial,conversion,4.64,14,active
CAMP_0048,HomeNest,fitness,2023-04-09,2023-05-01,49020,22565,mixed,engagement,2.92,6,completed
CAMP_0049,ActiveEdge,food,2023-07-14,2023-07-31,48369,23349,mixed,conversion,7.43,12,paused
CAMP_0050,PureGlow,gaming,2023-01-28,2023-02-11,80456,62522,gen_x,conversion,7.12,9,paused
CAMP_0051,StyleHub,gaming,2023-12-24,2024-01-21,76582,38994,mixed,awareness,4.33,13,paused
CAMP_0052,ActiveEdge,tech,2023-07-24,2023-09-15,26632,16343,mixed,engagement,5.39,3,completed
CAMP_0053,ActiveEdge,tech,2023-11-14,2023-12-01,22786,11486,gen_x,awareness,4.73,8,active
CAMP_0054,WanderLux,fitness,2023-05-25,2023-07-08,60255,24569,gen_z,conversion,3.35,4,paused
CAMP_0055,StyleHub,fashion,2023-01-25,2023-02-09,9067,5880,millennial,awareness,4.84,4,paused
CAMP_0056,WanderLux,lifestyle,2023-04-15,2023-05-09,96680,62103,gen_z,awareness,7.79,4,paused
CAMP_0057,PureGlow,food,2023-01-10,2023-03-10,80470,38572,millennial,awareness,6.18,7,paused
CAMP_0058,GlowSkin,lifestyle,2023-10-26,2023-12-13,20866,11922,gen_x,awareness,5.04,8,completed
CAMP_0059,FitFuel,food,2023-07-27,2023-09-02,69251,45306,mixed,engagement,2.92,5,paused
CAMP_0060,ActiveEdge,gaming,2023-09-21,2023-11-01,40400,29504,gen_x,conversion,7.11,4,active
CAMP_0061,PureGlow,lifestyle,2023-08-08,2023-08-23,65910,39396,gen_x,awareness,4.93,8,active
CAMP_0062,WanderLux,beauty,2023-06-09,2023-07-26,83139,64784,gen_z,awareness,6.32,10,paused
CAMP_0063,ActiveEdge,gaming,2023-04-23,2023-05-08,67402,29470,millennial,conversion,6.15,7,paused
CAMP_0064,HomeNest,food,2023-10-12,2023-11-30,67031,35682,mixed,conversion,3.84,6,completed
CAMP_0065,FitFuel,tech,2023-12-07,2024-01-02,46359,22556,mixed,conversion,6.35,15,paused
CAMP_0066,StyleHub,travel,2023-10-10,2023-11-07,18176,9894,gen_x,awareness,6.25,5,active
CAMP_0067,WanderLux,tech,2023-01-02,2023-02-25,77529,57944,mixed,awareness,7.24,12,active
CAMP_0068,HomeNest,tech,2023-08-16,2023-09-02,62733,31429,mixed,awareness,6.93,9,active
CAMP_0069,GlowSkin,tech,2023-02-19,2023-03-14,87502,63391,gen_x,awareness,7.96,4,paused
CAMP_0070,StyleHub,food,2023-07-20,2023-08-31,83135,63465,gen_x,engagement,7.94,7,paused
CAMP_0071,FitFuel,fashion,2023-10-02,2023-11-25,84905,41129,gen_z,awareness,3.44,11,completed
CAMP_0072,ActiveEdge,gaming,2023-03-01,2023-04-02,58545,24182,gen_x,engagement,3.7,10,completed
CAMP_0073,StyleHub,food,2023-11-08,2023-11-29,39675,24512,millennial,conversion,6.96,4,completed
CAMP_0074,WanderLux,gaming,2023-03-26,2023-04-16,45319,26624,gen_x,engagement,4.42,7,paused
CAMP_0075,FitFuel,beauty,2023-09-16,2023-10-27,62377,43278,gen_x,awareness,2.55,13,paused
CAMP_0076,WanderLux,beauty,2023-10-01,2023-10-26,93117,54771,mixed,conversion,3.09,12,active
CAMP_0077,FitFuel,gaming,2023-11-27,2024-01-02,69451,39124,gen_x,engagement,2.63,5,active
CAMP_0078,WanderLux,food,2023-07-23,2023-09-10,69942,29003,gen_z,conversion,3.51,4,active
CAMP_0079,ActiveEdge,food,2023-09-27,2023-10-14,5150,2446,gen_x,engagement,6.54,13,active
CAMP_0080,TechNova,travel,2023-01-07,2023-02-18,40003,30096,mixed,awareness,2.17,13,paused
CAMP_0081,WanderLux,beauty,2023-04-23,2023-06-11,25758,14507,millennial,awareness,4.77,4,paused
CAMP_0082,WanderLux,travel,2023-03-16,2023-04-25,98926,72601,mixed,awareness,4.74,5,active
CAMP_0083,TechNova,fitness,2023-04-20,2023-05-21,71616,50781,mixed,conversion,7.61,11,active
CAMP_0084,ActiveEdge,tech,2023-01-10,2023-02-21,44132,27160,gen_x,conversion,5.31,11,active
CAMP_0085,StyleHub,food,2023-08-11,2023-09-08,29727,22069,mixed,awareness,3.91,10,paused
CAMP_0086,TechNova,gaming,2023-07-13,2023-07-29,91991,41442,gen_x,awareness,7.25,10,completed
CAMP_0087,TechNova,food,2023-09-15,2023-11-09,7011,5525,gen_z,conversion,6.69,7,active
CAMP_0088,FitFuel,lifestyle,2023-10-23,2023-12-19,57098,42466,mixed,conversion,5.76,15,active
CAMP_0089,FitFuel,fashion,2023-09-02,2023-10-26,85931,57897,gen_x,awareness,6.48,9,completed
CAMP_0090,ActiveEdge,tech,2023-11-23,2024-01-20,18173,9446,gen_z,awareness,3.95,3,active
CAMP_0091,TechNova,fashion,2023-06-12,2023-07-29,61450,34708,millennial,awareness,3.05,12,active
CAMP_0092,ActiveEdge,tech,2023-10-22,2023-11-19,36566,21371,gen_x,conversion,3.53,3,active
CAMP_0093,TechNova,fitness,2023-05-22,2023-07-03,76643,59635,gen_x,engagement,7.77,14,active
CAMP_0094,StyleHub,food,2023-08-28,2023-10-11,44599,19742,mixed,engagement,4.15,7,paused
CAMP_0095,PureGlow,travel,2023-05-01,2023-05-15,91275,57172,gen_z,engagement,6.47,7,completed
CAMP_0096,StyleHub,fashion,2023-10-26,2023-12-18,51179,25602,millennial,engagement,2.58,13,paused
CAMP_0097,GlowSkin,lifestyle,2023-01-10,2023-03-11,62779,28412,gen_x,conversion,6.48,5,completed
CAMP_0098,HomeNest,travel,2023-03-26,2023-04-19,75701,38062,mixed,conversion,6.48,8,completed
CAMP_0099,StyleHub,food,2023-08-03,2023-09-21,23449,12810,mixed,awareness,3.59,4,active
CAMP_0100,WanderLux,food,2023-06-22,2023-08-15,93125,72276,gen_z,engagement,3.4,3,paused
CAMP_0101,StyleHub,fitness,2023-09-11,2023-11-04,84964,61985,gen_x,engagement,4.45,5,completed
CAMP_0102,FitFuel,fitness,2023-01-10,2023-02-08,69569,52518,millennial,conversion,4.72,13,paused
CAMP_0103,TechNova,food,2023-12-18,2024-02-11,59935,26348,mixed,engagement,4.45,7,completed
CAMP_0104,ActiveEdge,gaming,2023-12-12,2024-01-10,33477,24846,gen_z,engagement,4.2,13,active
CAMP_0105,StyleHub,fitness,2023-01-13,2023-02-25,41160,17973,millennial,engagement,5.84,3,completed
CAMP_0106,StyleHub,fitness,2023-06-08,2023-07-27,21505,10384,millennial,awareness,3.97,5,paused
CAMP_0107,TechNova,travel,2023-01-09,2023-02-03,23964,10639,gen_z,awareness,2.09,15,completed
CAMP_0108,TechNova,travel,2023-10-11,2023-10-28,7068,3186,mixed,engagement,2.68,4,active
CAMP_0109,FitFuel,gaming,2023-08-25,2023-10-10,52453,25630,gen_z,engagement,6.7,13,paused
CAMP_0110,GlowSkin,beauty,2023-05-15,2023-06-28,89323,66002,mixed,engagement,2.65,14,active
CAMP_0111,TechNova,fitness,2023-02-03,2023-02-25,47219,24082,gen_x,conversion,7.97,11,active
CAMP_0112,PureGlow,fitness,2023-08-17,2023-10-14,84354,37602,millennial,conversion,4.71,6,active
CAMP_0113,PureGlow,food,2023-06-27,2023-08-26,64441,28227,mixed,conversion,5.99,8,completed
CAMP_0114,FitFuel,fitness,2023-11-16,2023-12-05,13799,7903,gen_x,awareness,5.34,12,paused
CAMP_0115,FitFuel,food,2023-09-11,2023-10-17,92819,69563,mixed,engagement,2.31,7,paused
CAMP_0116,StyleHub,tech,2023-05-12,2023-07-07,18579,11015,gen_z,conversion,7.07,8,completed
CAMP_0117,PureGlow,beauty,2023-05-19,2023-07-10,34643,26732,gen_x,awareness,3.08,14,active
CAMP_0118,TechNova,tech,2023-06-12,2023-08-01,5800,3845,gen_z,awareness,6.45,3,completed
CAMP_0119,PureGlow,food,2023-12-17,2024-01-29,33197,17805,gen_x,conversion,6.33,15,paused
CAMP_0120,TechNova,tech,2023-10-03,2023-11-25,11895,4995,gen_z,conversion,4.66,9,active
CAMP_0121,WanderLux,fashion,2023-10-15,2023-11-30,59287,26414,mixed,awareness,3.7,13,paused
CAMP_0122,WanderLux,beauty,2023-08-17,2023-09-14,92442,51592,gen_z,awareness,3.23,6,completed
CAMP_0123,FitFuel,beauty,2023-05-10,2023-06-24,48007,33548,millennial,awareness,4.28,14,completed
CAMP_0124,HomeNest,fitness,2023-09-18,2023-10-27,92562,68931,gen_z,conversion,2.11,4,active
CAMP_0125,PureGlow,food,2023-10-14,2023-11-15,80156,35755,gen_z,conversion,3.03,12,active
CAMP_0126,PureGlow,fitness,2023-12-12,2024-01-10,16551,9505,mixed,engagement,2.47,7,paused
CAMP_0127,TechNova,fitness,2023-06-08,2023-07-24,48655,31786,millennial,conversion,4.11,13,completed
CAMP_0128,WanderLux,fashion,2023-04-04,2023-04-29,24194,15507,gen_z,awareness,7.71,13,active
CAMP_0129,ActiveEdge,lifestyle,2023-08-25,2023-10-18,78889,41532,mixed,awareness,4.81,13,active
CAMP_0130,HomeNest,fitness,2023-05-19,2023-06-21,12362,7228,gen_z,awareness,4.21,7,completed
CAMP_0131,PureGlow,gaming,2023-11-28,2024-01-18,16835,10467,gen_z,conversion,7.45,12,paused
CAMP_0132,ActiveEdge,tech,2023-04-11,2023-04-28,84299,48911,gen_x,engagement,2.51,13,completed
CAMP_0133,ActiveEdge,gaming,2023-01-08,2023-02-24,97749,59539,millennial,conversion,4.24,7,active
CAMP_0134,GlowSkin,lifestyle,2023-07-25,2023-08-12,49350,26248,mixed,conversion,3.51,13,paused
CAMP_0135,TechNova,lifestyle,2023-03-11,2023-04-13,15682,12343,mixed,awareness,5.57,4,active
CAMP_0136,HomeNest,tech,2023-09-13,2023-11-08,89343,60854,gen_z,engagement,6.02,11,active
CAMP_0137,TechNova,fashion,2023-01-12,2023-02-16,45483,35434,mixed,awareness,3.36,5,completed
CAMP_0138,GlowSkin,lifestyle,2023-02-10,2023-04-04,18256,8259,mixed,awareness,2.97,14,paused
CAMP_0139,GlowSkin,food,2023-03-24,2023-04-30,62366,41819,millennial,conversion,5.66,15,paused
CAMP_0140,StyleHub,travel,2023-08-08,2023-09-21,74993,57114,millennial,conversion,6.07,12,active
CAMP_0141,PureGlow,food,2023-08-25,2023-09-18,41932,30474,millennial,conversion,2.31,10,active
CAMP_0142,FitFuel,travel,2023-09-04,2023-09-23,98244,69286,gen_x,conversion,7.43,5,active
CAMP_0143,HomeNest,beauty,2023-02-08,2023-03-20,64130,27018,gen_x,awareness,4.32,4,active
CAMP_0144,FitFuel,lifestyle,2023-04-01,2023-04-24,46770,21282,gen_x,conversion,6.18,5,paused
CAMP_0145,GlowSkin,fitness,2023-08-15,2023-08-30,85654,43030,millennial,engagement,7.64,12,paused
CAMP_0146,StyleHub,travel,2023-07-04,2023-07-25,42762,17922,mixed,engagement,6.76,10,completed
CAMP_0147,GlowSkin,fashion,2023-02-27,2023-04-27,70513,32255,mixed,awareness,5.69,6,paused
CAMP_0148,FitFuel,lifestyle,2023-07-06,2023-07-24,92080,71948,gen_z,conversion,7.24,3,paused
CAMP_0149,GlowSkin,lifestyle,2023-07-12,2023-07-30,38246,20573,gen_z,engagement,6.41,8,completed
CAMP_0150,HomeNest,tech,2023-01-12,2023-03-10,76567,44857,mixed,engagement,3.09,5,completed
CAMP_0151,GlowSkin,travel,2023-12-25,2024-01-20,64988,27134,millennial,awareness,3.89,7,paused
CAMP_0152,ActiveEdge,travel,2023-07-27,2023-08-12,76176,53423,millennial,conversion,4.14,15,completed
CAMP_0153,FitFuel,lifestyle,2023-11-11,2023-12-22,40811,30845,mixed,conversion,4.03,5,active
CAMP_0154,WanderLux,fitness,2023-12-16,2024-02-14,53148,30284,mixed,engagement,7.97,5,paused
CAMP_0155,FitFuel,lifestyle,2023-05-11,2023-07-06,18447,9560,mixed,engagement,6.31,5,paused
CAMP_0156,GlowSkin,lifestyle,2023-08-12,2023-10-04,63606,50838,gen_x,engagement,7.88,3,completed
CAMP_0157,HomeNest,tech,2023-11-21,2023-12-06,58242,26623,mixed,awareness,2.76,6,paused
CAMP_0158,GlowSkin,tech,2023-06-12,2023-08-08,55181,32003,gen_x,conversion,4.66,4,paused
CAMP_0159,PureGlow,lifestyle,2023-03-17,2023-05-11,53096,27157,gen_z,awareness,6.41,10,paused
CAMP_0160,WanderLux,travel,2023-07-18,2023-09-15,20435,11822,gen_x,engagement,7.5,10,completed
CAMP_0161,ActiveEdge,tech,2023-02-05,2023-04-05,14706,8501,gen_z,engagement,7.81,8,paused
CAMP_0162,WanderLux,travel,2023-06-23,2023-07-17,13511,9251,millennial,conversion,5.05,4,completed
CAMP_0163,GlowSkin,lifestyle,2023-03-08,2023-04-26,69752,43868,mixed,engagement,2.78,4,completed
CAMP_0164,ActiveEdge,food,2023-05-13,2023-06-22,98969,72182,gen_z,awareness,7.83,13,completed
CAMP_0165,HomeNest,tech,2023-08-15,2023-10-03,94143,61750,millennial,awareness,4.6,3,completed
CAMP_0166,TechNova,tech,2023-09-05,2023-10-09,44862,34718,millennial,conversion,7.68,11,active
CAMP_0167,WanderLux,tech,2023-02-09,2023-04-04,30729,16014,gen_z,engagement,5.85,12,paused
CAMP_0168,HomeNest,beauty,2023-03-06,2023-03-21,91341,39504,gen_x,engagement,3.26,12,active
CAMP_0169,ActiveEdge,travel,2023-10-21,2023-12-15,8969,7020,mixed,awareness,6.83,13,active
CAMP_0170,GlowSkin,tech,2023-05-15,2023-06-26,14564,8247,mixed,awareness,4.04,5,active
CAMP_0171,PureGlow,tech,2023-12-11,2024-01-17,50268,30462,gen_z,conversion,3.45,4,active
CAMP_0172,FitFuel,beauty,2023-08-08,2023-09-09,23465,18259,mixed,awareness,7.78,5,active
CAMP_0173,StyleHub,tech,2023-10-24,2023-12-08,45988,36716,mixed,conversion,7.27,10,completed
CAMP_0174,ActiveEdge,fashion,2023-02-13,2023-03-12,71249,45125,gen_z,awareness,3.69,12,paused
CAMP_0175,GlowSkin,fitness,2023-11-16,2023-12-27,42453,19256,gen_x,engagement,4.19,9,active
CAMP_0176,StyleHub,lifestyle,2023-01-13,2023-03-03,11705,6033,mixed,engagement,4.7,11,active
CAMP_0177,FitFuel,tech,2023-10-22,2023-11-11,85090,47443,gen_x,engagement,7.63,15,completed
CAMP_0178,PureGlow,beauty,2023-04-20,2023-05-06,71731,29809,gen_x,conversion,5.12,5,paused
CAMP_0179,HomeNest,tech,2023-09-05,2023-10-14,47987,38209,gen_x,engagement,4.02,11,paused
CAMP_0180,WanderLux,gaming,2023-08-23,2023-09-07,78783,43121,gen_z,conversion,5.5,15,paused
CAMP_0181,ActiveEdge,travel,2023-12-21,2024-02-14,8492,6056,millennial,engagement,2.31,10,completed
CAMP_0182,PureGlow,tech,2023-09-21,2023-11-17,99526,49452,gen_z,awareness,2.11,8,active
CAMP_0183,StyleHub,food,2023-03-14,2023-04-29,95505,67807,mixed,engagement,6.36,14,completed
CAMP_0184,HomeNest,gaming,2023-09-07,2023-10-24,78516,43241,millennial,conversion,7.47,8,paused
CAMP_0185,WanderLux,gaming,2023-06-22,2023-07-18,99493,77897,gen_x,engagement,3.79,7,active
CAMP_0186,ActiveEdge,lifestyle,2023-12-07,2024-01-20,95471,51509,gen_x,conversion,2.73,13,paused
CAMP_0187,TechNova,travel,2023-07-13,2023-07-29,50237,25875,gen_z,conversion,7.54,13,active
CAMP_0188,StyleHub,travel,2023-12-16,2024-02-03,33047,22421,millennial,awareness,5.69,12,completed
CAMP_0189,StyleHub,fashion,2023-04-02,2023-04-19,92796,40838,gen_x,engagement,4.83,13,completed
CAMP_0190,PureGlow,gaming,2023-01-18,2023-03-03,25701,16968,gen_x,conversion,3.71,3,completed
CAMP_0191,GlowSkin,tech,2023-11-19,2023-12-29,35437,26680,millennial,awareness,7.98,9,active
CAMP_0192,GlowSkin,beauty,2023-03-24,2023-04-26,42941,26932,gen_z,conversion,3.71,13,paused
CAMP_0193,ActiveEdge,travel,2023-09-16,2023-10-12,22589,16344,gen_x,awareness,6.39,13,active
CAMP_0194,HomeNest,travel,2023-12-06,2024-01-25,6846,4585,millennial,awareness,5.67,13,active
CAMP_0195,FitFuel,food,2023-07-17,2023-09-11,47982,21024,millennial,conversion,3.94,6,completed
CAMP_0196,ActiveEdge,travel,2023-05-13,2023-06-17,35870,18680,gen_z,conversion,5.92,14,completed
CAMP_0197,ActiveEdge,travel,2023-01-22,2023-02-15,20495,11522,gen_x,engagement,2.7,7,active
CAMP_0198,TechNova,gaming,2023-10-08,2023-10-31,33721,19625,gen_x,conversion,6.21,10,paused
CAMP_0199,StyleHub,fitness,2023-11-27,2024-01-13,33627,19460,gen_x,awareness,7.5,4,completed
CAMP_0200,TechNova,tech,2023-09-17,2023-10-21,31497,23364,mixed,awareness,6.08,14,paused
